Dynojet Research Inc.,
Run Name: C:\Users\Jake\Documents\Motorsports\JPDM Tunes\Dyno Files\uga 5-3-25\RunFile_039.drf,
Run Title: ,
Run Notes: ,
Run Date: 5/3/2025 5:29:23 PM,
RunFile_039.drf: 75.37 °F 28.52 in-Hg Humidity: 42 % SAE: 1.04 Average Gear Ratio: N/A,
,s,mph,hp,
,-INF,11.93,-INF,
,-INF,11.94,-INF,
,-INF,11.95,-INF,
,-INF,11.96,-INF,
,-INF,11.97,-INF,
,-INF,11.98,-INF,
,-INF,11.99,-INF,
,-INF,12.00,-INF,
,-INF,12.01,-INF,
,1.66,12.02,6.68,
,1.66,12.03,6.72,
,-INF,12.04,-INF,
,-INF,12.05,-INF,
,-INF,12.06,-INF,
,-INF,12.07,-INF,
,-INF,12.08,-INF,
,-INF,12.09,-INF,
,-INF,12.10,-INF,
,-INF,12.11,-INF,
,-INF,12.12,-INF,
,-INF,12.13,-INF,
,-INF,12.14,-INF,
,-INF,12.15,-INF,
,-INF,12.16,-INF,
,-INF,12.17,-INF,
,-INF,12.18,-INF,
,-INF,12.19,-INF,
,-INF,12.20,-INF,
,-INF,12.21,-INF,
,-INF,12.22,-INF,
,-INF,12.23,-INF,
,1.68,12.24,7.57,
,1.68,12.25,7.61,
,-INF,12.26,-INF,
,-INF,12.27,-INF,
,-INF,12.28,-INF,
,-INF,12.29,-INF,
,-INF,12.30,-INF,
,-INF,12.31,-INF,
,-INF,12.32,-INF,
,-INF,12.33,-INF,
,-INF,12.34,-INF,
,-INF,12.35,-INF,
,-INF,12.36,-INF,
,-INF,12.37,-INF,
,-INF,12.38,-INF,
,-INF,12.39,-INF,
,-INF,12.40,-INF,
,-INF,12.41,-INF,
,-INF,12.42,-INF,
,-INF,12.43,-INF,
,-INF,12.44,-INF,
,1.70,12.45,8.42,
,1.70,12.46,8.46,
,-INF,12.47,-INF,
,-INF,12.48,-INF,
,-INF,12.49,-INF,
,-INF,12.50,-INF,
,-INF,12.51,-INF,
,-INF,12.52,-INF,
,-INF,12.53,-INF,
,-INF,12.54,-INF,
,-INF,12.55,-INF,
,-INF,12.56,-INF,
,-INF,12.57,-INF,
,-INF,12.58,-INF,
,-INF,12.59,-INF,
,-INF,12.60,-INF,
,-INF,12.61,-INF,
,-INF,12.62,-INF,
,-INF,12.63,-INF,
,-INF,12.64,-INF,
,-INF,12.65,-INF,
,-INF,12.66,-INF,
,1.72,12.67,9.29,
,1.72,12.68,9.32,
,-INF,12.69,-INF,
,-INF,12.70,-INF,
,-INF,12.71,-INF,
,-INF,12.72,-INF,
,-INF,12.73,-INF,
,-INF,12.74,-INF,
,-INF,12.75,-INF,
,-INF,12.76,-INF,
,-INF,12.77,-INF,
,-INF,12.78,-INF,
,-INF,12.79,-INF,
,-INF,12.80,-INF,
,-INF,12.81,-INF,
,-INF,12.82,-INF,
,-INF,12.83,-INF,
,-INF,12.84,-INF,
,-INF,12.85,-INF,
,-INF,12.86,-INF,
,-INF,12.87,-INF,
,-INF,12.88,-INF,
,1.74,12.89,10.12,
,1.74,12.90,10.16,
,-INF,12.91,-INF,
,-INF,12.92,-INF,
,-INF,12.93,-INF,
,-INF,12.94,-INF,
,-INF,12.95,-INF,
,-INF,12.96,-INF,
,-INF,12.97,-INF,
,-INF,12.98,-INF,
,-INF,12.99,-INF,
,-INF,13.00,-INF,
,-INF,13.01,-INF,
,-INF,13.02,-INF,
,-INF,13.03,-INF,
,-INF,13.04,-INF,
,-INF,13.05,-INF,
,-INF,13.06,-INF,
,-INF,13.07,-INF,
,-INF,13.08,-INF,
,-INF,13.09,-INF,
,1.76,13.10,10.88,
,1.76,13.11,10.91,
,-INF,13.12,-INF,
,-INF,13.13,-INF,
,-INF,13.14,-INF,
,-INF,13.15,-INF,
,-INF,13.16,-INF,
,-INF,13.17,-INF,
,-INF,13.18,-INF,
,-INF,13.19,-INF,
,-INF,13.20,-INF,
,-INF,13.21,-INF,
,-INF,13.22,-INF,
,-INF,13.23,-INF,
,-INF,13.24,-INF,
,-INF,13.25,-INF,
,-INF,13.26,-INF,
,-INF,13.27,-INF,
,-INF,13.28,-INF,
,-INF,13.29,-INF,
,-INF,13.30,-INF,
,-INF,13.31,-INF,
,1.78,13.32,11.63,
,1.78,13.33,11.66,
,-INF,13.34,-INF,
,-INF,13.35,-INF,
,-INF,13.36,-INF,
,-INF,13.37,-INF,
,-INF,13.38,-INF,
,-INF,13.39,-INF,
,-INF,13.40,-INF,
,-INF,13.41,-INF,
,-INF,13.42,-INF,
,-INF,13.43,-INF,
,-INF,13.44,-INF,
,-INF,13.45,-INF,
,-INF,13.46,-INF,
,-INF,13.47,-INF,
,-INF,13.48,-INF,
,-INF,13.49,-INF,
,-INF,13.50,-INF,
,-INF,13.51,-INF,
,-INF,13.52,-INF,
,1.80,13.53,12.29,
,1.80,13.54,12.32,
,-INF,13.55,-INF,
,-INF,13.56,-INF,
,-INF,13.57,-INF,
,-INF,13.58,-INF,
,-INF,13.59,-INF,
,-INF,13.60,-INF,
,-INF,13.61,-INF,
,-INF,13.62,-INF,
,-INF,13.63,-INF,
,-INF,13.64,-INF,
,-INF,13.65,-INF,
,-INF,13.66,-INF,
,-INF,13.67,-INF,
,-INF,13.68,-INF,
,-INF,13.69,-INF,
,-INF,13.70,-INF,
,-INF,13.71,-INF,
,-INF,13.72,-INF,
,-INF,13.73,-INF,
,-INF,13.74,-INF,
,1.82,13.75,12.93,
,1.82,13.76,12.96,
,-INF,13.77,-INF,
,-INF,13.78,-INF,
,-INF,13.79,-INF,
,-INF,13.80,-INF,
,-INF,13.81,-INF,
,-INF,13.82,-INF,
,-INF,13.83,-INF,
,-INF,13.84,-INF,
,-INF,13.85,-INF,
,-INF,13.86,-INF,
,-INF,13.87,-INF,
,-INF,13.88,-INF,
,-INF,13.89,-INF,
,-INF,13.90,-INF,
,-INF,13.91,-INF,
,-INF,13.92,-INF,
,-INF,13.93,-INF,
,-INF,13.94,-INF,
,-INF,13.95,-INF,
,-INF,13.96,-INF,
,1.84,13.97,13.53,
,1.84,13.98,13.56,
,-INF,13.99,-INF,
,-INF,14.00,-INF,
,-INF,14.01,-INF,
,-INF,14.02,-INF,
,-INF,14.03,-INF,
,-INF,14.04,-INF,
,-INF,14.05,-INF,
,-INF,14.06,-INF,
,-INF,14.07,-INF,
,-INF,14.08,-INF,
,-INF,14.09,-INF,
,-INF,14.10,-INF,
,-INF,14.11,-INF,
,-INF,14.12,-INF,
,-INF,14.13,-INF,
,-INF,14.14,-INF,
,-INF,14.15,-INF,
,-INF,14.16,-INF,
,-INF,14.17,-INF,
,1.86,14.18,14.08,
,1.86,14.19,14.10,
,-INF,14.20,-INF,
,-INF,14.21,-INF,
,-INF,14.22,-INF,
,-INF,14.23,-INF,
,-INF,14.24,-INF,
,-INF,14.25,-INF,
,-INF,14.26,-INF,
,-INF,14.27,-INF,
,-INF,14.28,-INF,
,-INF,14.29,-INF,
,-INF,14.30,-INF,
,-INF,14.31,-INF,
,-INF,14.32,-INF,
,-INF,14.33,-INF,
,-INF,14.34,-INF,
,-INF,14.35,-INF,
,-INF,14.36,-INF,
,-INF,14.37,-INF,
,-INF,14.38,-INF,
,-INF,14.39,-INF,
,-INF,14.40,-INF,
,-INF,14.41,-INF,
,1.88,14.42,14.66,
,1.88,14.43,14.68,
,-INF,14.44,-INF,
,-INF,14.45,-INF,
,-INF,14.46,-INF,
,-INF,14.47,-INF,
,-INF,14.48,-INF,
,-INF,14.49,-INF,
,-INF,14.50,-INF,
,-INF,14.51,-INF,
,-INF,14.52,-INF,
,-INF,14.53,-INF,
,-INF,14.54,-INF,
,-INF,14.55,-INF,
,-INF,14.56,-INF,
,-INF,14.57,-INF,
,-INF,14.58,-INF,
,-INF,14.59,-INF,
,-INF,14.60,-INF,
,-INF,14.61,-INF,
,-INF,14.62,-INF,
,-INF,14.63,-INF,
,-INF,14.64,-INF,
,-INF,14.65,-INF,
,-INF,14.66,-INF,
,-INF,14.67,-INF,
,-INF,14.68,-INF,
,-INF,14.69,-INF,
,1.90,14.70,15.23,
,1.90,14.71,15.25,
,-INF,14.72,-INF,
,-INF,14.73,-INF,
,-INF,14.74,-INF,
,-INF,14.75,-INF,
,-INF,14.76,-INF,
,-INF,14.77,-INF,
,-INF,14.78,-INF,
,-INF,14.79,-INF,
,-INF,14.80,-INF,
,-INF,14.81,-INF,
,-INF,14.82,-INF,
,-INF,14.83,-INF,
,-INF,14.84,-INF,
,-INF,14.85,-INF,
,-INF,14.86,-INF,
,-INF,14.87,-INF,
,-INF,14.88,-INF,
,-INF,14.89,-INF,
,-INF,14.90,-INF,
,-INF,14.91,-INF,
,-INF,14.92,-INF,
,-INF,14.93,-INF,
,-INF,14.94,-INF,
,-INF,14.95,-INF,
,-INF,14.96,-INF,
,-INF,14.97,-INF,
,1.92,14.98,15.82,
,1.92,14.99,15.85,
,-INF,15.00,-INF,
,-INF,15.01,-INF,
,-INF,15.02,-INF,
,-INF,15.03,-INF,
,-INF,15.04,-INF,
,-INF,15.05,-INF,
,-INF,15.06,-INF,
,-INF,15.07,-INF,
,-INF,15.08,-INF,
,-INF,15.09,-INF,
,-INF,15.10,-INF,
,-INF,15.11,-INF,
,-INF,15.12,-INF,
,-INF,15.13,-INF,
,-INF,15.14,-INF,
,-INF,15.15,-INF,
,-INF,15.16,-INF,
,-INF,15.17,-INF,
,-INF,15.18,-INF,
,-INF,15.19,-INF,
,-INF,15.20,-INF,
,-INF,15.21,-INF,
,-INF,15.22,-INF,
,-INF,15.23,-INF,
,-INF,15.24,-INF,
,-INF,15.25,-INF,
,1.94,15.26,16.45,
,1.94,15.27,16.47,
,-INF,15.28,-INF,
,-INF,15.29,-INF,
,-INF,15.30,-INF,
,-INF,15.31,-INF,
,-INF,15.32,-INF,
,-INF,15.33,-INF,
,-INF,15.34,-INF,
,-INF,15.35,-INF,
,-INF,15.36,-INF,
,-INF,15.37,-INF,
,-INF,15.38,-INF,
,-INF,15.39,-INF,
,-INF,15.40,-INF,
,-INF,15.41,-INF,
,-INF,15.42,-INF,
,-INF,15.43,-INF,
,-INF,15.44,-INF,
,-INF,15.45,-INF,
,-INF,15.46,-INF,
,-INF,15.47,-INF,
,-INF,15.48,-INF,
,-INF,15.49,-INF,
,-INF,15.50,-INF,
,-INF,15.51,-INF,
,-INF,15.52,-INF,
,-INF,15.53,-INF,
,1.96,15.54,17.09,
,1.96,15.55,17.11,
,-INF,15.56,-INF,
,-INF,15.57,-INF,
,-INF,15.58,-INF,
,-INF,15.59,-INF,
,-INF,15.60,-INF,
,-INF,15.61,-INF,
,-INF,15.62,-INF,
,-INF,15.63,-INF,
,-INF,15.64,-INF,
,-INF,15.65,-INF,
,-INF,15.66,-INF,
,-INF,15.67,-INF,
,-INF,15.68,-INF,
,-INF,15.69,-INF,
,-INF,15.70,-INF,
,-INF,15.71,-INF,
,-INF,15.72,-INF,
,-INF,15.73,-INF,
,-INF,15.74,-INF,
,-INF,15.75,-INF,
,-INF,15.76,-INF,
,-INF,15.77,-INF,
,-INF,15.78,-INF,
,-INF,15.79,-INF,
,-INF,15.80,-INF,
,-INF,15.81,-INF,
,1.98,15.82,17.74,
,1.98,15.83,17.76,
,-INF,15.84,-INF,
,-INF,15.85,-INF,
,-INF,15.86,-INF,
,-INF,15.87,-INF,
,-INF,15.88,-INF,
,-INF,15.89,-INF,
,-INF,15.90,-INF,
,-INF,15.91,-INF,
,-INF,15.92,-INF,
,-INF,15.93,-INF,
,-INF,15.94,-INF,
,-INF,15.95,-INF,
,-INF,15.96,-INF,
,-INF,15.97,-INF,
,-INF,15.98,-INF,
,-INF,15.99,-INF,
,-INF,16.00,-INF,
,-INF,16.01,-INF,
,-INF,16.02,-INF,
,-INF,16.03,-INF,
,-INF,16.04,-INF,
,-INF,16.05,-INF,
,-INF,16.06,-INF,
,-INF,16.07,-INF,
,-INF,16.08,-INF,
,-INF,16.09,-INF,
,2.00,16.10,18.38,
,2.00,16.11,18.41,
,-INF,16.12,-INF,
,-INF,16.13,-INF,
,-INF,16.14,-INF,
,-INF,16.15,-INF,
,-INF,16.16,-INF,
,-INF,16.17,-INF,
,-INF,16.18,-INF,
,-INF,16.19,-INF,
,-INF,16.20,-INF,
,-INF,16.21,-INF,
,-INF,16.22,-INF,
,-INF,16.23,-INF,
,-INF,16.24,-INF,
,-INF,16.25,-INF,
,-INF,16.26,-INF,
,-INF,16.27,-INF,
,-INF,16.28,-INF,
,-INF,16.29,-INF,
,-INF,16.30,-INF,
,-INF,16.31,-INF,
,-INF,16.32,-INF,
,-INF,16.33,-INF,
,-INF,16.34,-INF,
,-INF,16.35,-INF,
,-INF,16.36,-INF,
,-INF,16.37,-INF,
,2.02,16.38,19.01,
,2.02,16.39,19.03,
,-INF,16.40,-INF,
,-INF,16.41,-INF,
,-INF,16.42,-INF,
,-INF,16.43,-INF,
,-INF,16.44,-INF,
,-INF,16.45,-INF,
,-INF,16.46,-INF,
,-INF,16.47,-INF,
,-INF,16.48,-INF,
,-INF,16.49,-INF,
,-INF,16.50,-INF,
,-INF,16.51,-INF,
,-INF,16.52,-INF,
,-INF,16.53,-INF,
,-INF,16.54,-INF,
,-INF,16.55,-INF,
,-INF,16.56,-INF,
,-INF,16.57,-INF,
,-INF,16.58,-INF,
,-INF,16.59,-INF,
,-INF,16.60,-INF,
,-INF,16.61,-INF,
,-INF,16.62,-INF,
,-INF,16.63,-INF,
,-INF,16.64,-INF,
,-INF,16.65,-INF,
,2.04,16.66,19.61,
,2.04,16.67,19.63,
,-INF,16.68,-INF,
,-INF,16.69,-INF,
,-INF,16.70,-INF,
,-INF,16.71,-INF,
,-INF,16.72,-INF,
,-INF,16.73,-INF,
,-INF,16.74,-INF,
,-INF,16.75,-INF,
,-INF,16.76,-INF,
,-INF,16.77,-INF,
,-INF,16.78,-INF,
,-INF,16.79,-INF,
,-INF,16.80,-INF,
,-INF,16.81,-INF,
,-INF,16.82,-INF,
,-INF,16.83,-INF,
,-INF,16.84,-INF,
,-INF,16.85,-INF,
,-INF,16.86,-INF,
,-INF,16.87,-INF,
,-INF,16.88,-INF,
,-INF,16.89,-INF,
,-INF,16.90,-INF,
,-INF,16.91,-INF,
,-INF,16.92,-INF,
,-INF,16.93,-INF,
,2.06,16.94,20.20,
,2.06,16.95,20.22,
,-INF,16.96,-INF,
,-INF,16.97,-INF,
,-INF,16.98,-INF,
,-INF,16.99,-INF,
,-INF,17.00,-INF,
,-INF,17.01,-INF,
,-INF,17.02,-INF,
,-INF,17.03,-INF,
,-INF,17.04,-INF,
,-INF,17.05,-INF,
,-INF,17.06,-INF,
,-INF,17.07,-INF,
,-INF,17.08,-INF,
,-INF,17.09,-INF,
,-INF,17.10,-INF,
,-INF,17.11,-INF,
,-INF,17.12,-INF,
,-INF,17.13,-INF,
,-INF,17.14,-INF,
,-INF,17.15,-INF,
,-INF,17.16,-INF,
,-INF,17.17,-INF,
,-INF,17.18,-INF,
,-INF,17.19,-INF,
,-INF,17.20,-INF,
,-INF,17.21,-INF,
,-INF,17.22,-INF,
,2.08,17.23,20.82,
,2.08,17.24,20.84,
,-INF,17.25,-INF,
,-INF,17.26,-INF,
,-INF,17.27,-INF,
,-INF,17.28,-INF,
,-INF,17.29,-INF,
,-INF,17.30,-INF,
,-INF,17.31,-INF,
,-INF,17.32,-INF,
,-INF,17.33,-INF,
,-INF,17.34,-INF,
,-INF,17.35,-INF,
,-INF,17.36,-INF,
,-INF,17.37,-INF,
,-INF,17.38,-INF,
,-INF,17.39,-INF,
,-INF,17.40,-INF,
,-INF,17.41,-INF,
,-INF,17.42,-INF,
,-INF,17.43,-INF,
,-INF,17.44,-INF,
,-INF,17.45,-INF,
,-INF,17.46,-INF,
,-INF,17.47,-INF,
,-INF,17.48,-INF,
,-INF,17.49,-INF,
,-INF,17.50,-INF,
,-INF,17.51,-INF,
,-INF,17.52,-INF,
,-INF,17.53,-INF,
,2.10,17.54,21.45,
,2.10,17.55,21.47,
,-INF,17.56,-INF,
,-INF,17.57,-INF,
,-INF,17.58,-INF,
,-INF,17.59,-INF,
,-INF,17.60,-INF,
,-INF,17.61,-INF,
,-INF,17.62,-INF,
,-INF,17.63,-INF,
,-INF,17.64,-INF,
,-INF,17.65,-INF,
,-INF,17.66,-INF,
,-INF,17.67,-INF,
,-INF,17.68,-INF,
,-INF,17.69,-INF,
,-INF,17.70,-INF,
,-INF,17.71,-INF,
,-INF,17.72,-INF,
,-INF,17.73,-INF,
,-INF,17.74,-INF,
,-INF,17.75,-INF,
,-INF,17.76,-INF,
,-INF,17.77,-INF,
,-INF,17.78,-INF,
,-INF,17.79,-INF,
,-INF,17.80,-INF,
,-INF,17.81,-INF,
,-INF,17.82,-INF,
,-INF,17.83,-INF,
,-INF,17.84,-INF,
,-INF,17.85,-INF,
,2.12,17.86,22.16,
,2.12,17.87,22.19,
,-INF,17.88,-INF,
,-INF,17.89,-INF,
,-INF,17.90,-INF,
,-INF,17.91,-INF,
,-INF,17.92,-INF,
,-INF,17.93,-INF,
,-INF,17.94,-INF,
,-INF,17.95,-INF,
,-INF,17.96,-INF,
,-INF,17.97,-INF,
,-INF,17.98,-INF,
,-INF,17.99,-INF,
,-INF,18.00,-INF,
,-INF,18.01,-INF,
,-INF,18.02,-INF,
,-INF,18.03,-INF,
,-INF,18.04,-INF,
,-INF,18.05,-INF,
,-INF,18.06,-INF,
,-INF,18.07,-INF,
,-INF,18.08,-INF,
,-INF,18.09,-INF,
,-INF,18.10,-INF,
,-INF,18.11,-INF,
,-INF,18.12,-INF,
,-INF,18.13,-INF,
,-INF,18.14,-INF,
,-INF,18.15,-INF,
,-INF,18.16,-INF,
,-INF,18.17,-INF,
,2.14,18.18,22.97,
,2.14,18.19,23.00,
,-INF,18.20,-INF,
,-INF,18.21,-INF,
,-INF,18.22,-INF,
,-INF,18.23,-INF,
,-INF,18.24,-INF,
,-INF,18.25,-INF,
,-INF,18.26,-INF,
,-INF,18.27,-INF,
,-INF,18.28,-INF,
,-INF,18.29,-INF,
,-INF,18.30,-INF,
,-INF,18.31,-INF,
,-INF,18.32,-INF,
,-INF,18.33,-INF,
,-INF,18.34,-INF,
,-INF,18.35,-INF,
,-INF,18.36,-INF,
,-INF,18.37,-INF,
,-INF,18.38,-INF,
,-INF,18.39,-INF,
,-INF,18.40,-INF,
,-INF,18.41,-INF,
,-INF,18.42,-INF,
,-INF,18.43,-INF,
,-INF,18.44,-INF,
,-INF,18.45,-INF,
,-INF,18.46,-INF,
,-INF,18.47,-INF,
,-INF,18.48,-INF,
,-INF,18.49,-INF,
,2.16,18.50,23.88,
,2.16,18.51,23.91,
,-INF,18.52,-INF,
,-INF,18.53,-INF,
,-INF,18.54,-INF,
,-INF,18.55,-INF,
,-INF,18.56,-INF,
,-INF,18.57,-INF,
,-INF,18.58,-INF,
,-INF,18.59,-INF,
,-INF,18.60,-INF,
,-INF,18.61,-INF,
,-INF,18.62,-INF,
,-INF,18.63,-INF,
,-INF,18.64,-INF,
,-INF,18.65,-INF,
,-INF,18.66,-INF,
,-INF,18.67,-INF,
,-INF,18.68,-INF,
,-INF,18.69,-INF,
,-INF,18.70,-INF,
,-INF,18.71,-INF,
,-INF,18.72,-INF,
,-INF,18.73,-INF,
,-INF,18.74,-INF,
,-INF,18.75,-INF,
,-INF,18.76,-INF,
,-INF,18.77,-INF,
,-INF,18.78,-INF,
,-INF,18.79,-INF,
,-INF,18.80,-INF,
,-INF,18.81,-INF,
,2.18,18.82,24.89,
,2.18,18.83,24.92,
,-INF,18.84,-INF,
,-INF,18.85,-INF,
,-INF,18.86,-INF,
,-INF,18.87,-INF,
,-INF,18.88,-INF,
,-INF,18.89,-INF,
,-INF,18.90,-INF,
,-INF,18.91,-INF,
,-INF,18.92,-INF,
,-INF,18.93,-INF,
,-INF,18.94,-INF,
,-INF,18.95,-INF,
,-INF,18.96,-INF,
,-INF,18.97,-INF,
,-INF,18.98,-INF,
,-INF,18.99,-INF,
,-INF,19.00,-INF,
,-INF,19.01,-INF,
,-INF,19.02,-INF,
,-INF,19.03,-INF,
,-INF,19.04,-INF,
,-INF,19.05,-INF,
,-INF,19.06,-INF,
,-INF,19.07,-INF,
,-INF,19.08,-INF,
,-INF,19.09,-INF,
,-INF,19.10,-INF,
,-INF,19.11,-INF,
,-INF,19.12,-INF,
,2.20,19.13,25.95,
,2.20,19.14,25.99,
,-INF,19.15,-INF,
,-INF,19.16,-INF,
,-INF,19.17,-INF,
,-INF,19.18,-INF,
,-INF,19.19,-INF,
,-INF,19.20,-INF,
,-INF,19.21,-INF,
,-INF,19.22,-INF,
,-INF,19.23,-INF,
,-INF,19.24,-INF,
,-INF,19.25,-INF,
,-INF,19.26,-INF,
,-INF,19.27,-INF,
,-INF,19.28,-INF,
,-INF,19.29,-INF,
,-INF,19.30,-INF,
,-INF,19.31,-INF,
,-INF,19.32,-INF,
,-INF,19.33,-INF,
,-INF,19.34,-INF,
,-INF,19.35,-INF,
,-INF,19.36,-INF,
,-INF,19.37,-INF,
,-INF,19.38,-INF,
,-INF,19.39,-INF,
,-INF,19.40,-INF,
,-INF,19.41,-INF,
,-INF,19.42,-INF,
,-INF,19.43,-INF,
,-INF,19.44,-INF,
,2.22,19.45,27.13,
,2.22,19.46,27.17,
,-INF,19.47,-INF,
,-INF,19.48,-INF,
,-INF,19.49,-INF,
,-INF,19.50,-INF,
,-INF,19.51,-INF,
,-INF,19.52,-INF,
,-INF,19.53,-INF,
,-INF,19.54,-INF,
,-INF,19.55,-INF,
,-INF,19.56,-INF,
,-INF,19.57,-INF,
,-INF,19.58,-INF,
,-INF,19.59,-INF,
,-INF,19.60,-INF,
,-INF,19.61,-INF,
,-INF,19.62,-INF,
,-INF,19.63,-INF,
,-INF,19.64,-INF,
,-INF,19.65,-INF,
,-INF,19.66,-INF,
,-INF,19.67,-INF,
,-INF,19.68,-INF,
,-INF,19.69,-INF,
,-INF,19.70,-INF,
,-INF,19.71,-INF,
,-INF,19.72,-INF,
,-INF,19.73,-INF,
,-INF,19.74,-INF,
,-INF,19.75,-INF,
,-INF,19.76,-INF,
,2.24,19.77,28.39,
,2.24,19.78,28.42,
,-INF,19.79,-INF,
,-INF,19.80,-INF,
,-INF,19.81,-INF,
,-INF,19.82,-INF,
,-INF,19.83,-INF,
,-INF,19.84,-INF,
,-INF,19.85,-INF,
,-INF,19.86,-INF,
,-INF,19.87,-INF,
,-INF,19.88,-INF,
,-INF,19.89,-INF,
,-INF,19.90,-INF,
,-INF,19.91,-INF,
,-INF,19.92,-INF,
,-INF,19.93,-INF,
,-INF,19.94,-INF,
,-INF,19.95,-INF,
,-INF,19.96,-INF,
,-INF,19.97,-INF,
,-INF,19.98,-INF,
,-INF,19.99,-INF,
,-INF,20.00,-INF,
,-INF,20.01,-INF,
,-INF,20.02,-INF,
,-INF,20.03,-INF,
,-INF,20.04,-INF,
,-INF,20.05,-INF,
,-INF,20.06,-INF,
,-INF,20.07,-INF,
,-INF,20.08,-INF,
,-INF,20.09,-INF,
,-INF,20.10,-INF,
,-INF,20.11,-INF,
,-INF,20.12,-INF,
,2.26,20.13,29.70,
,2.26,20.14,29.73,
,-INF,20.15,-INF,
,-INF,20.16,-INF,
,-INF,20.17,-INF,
,-INF,20.18,-INF,
,-INF,20.19,-INF,
,-INF,20.20,-INF,
,-INF,20.21,-INF,
,-INF,20.22,-INF,
,-INF,20.23,-INF,
,-INF,20.24,-INF,
,-INF,20.25,-INF,
,-INF,20.26,-INF,
,-INF,20.27,-INF,
,-INF,20.28,-INF,
,-INF,20.29,-INF,
,-INF,20.30,-INF,
,-INF,20.31,-INF,
,-INF,20.32,-INF,
,-INF,20.33,-INF,
,-INF,20.34,-INF,
,-INF,20.35,-INF,
,-INF,20.36,-INF,
,-INF,20.37,-INF,
,-INF,20.38,-INF,
,-INF,20.39,-INF,
,-INF,20.40,-INF,
,-INF,20.41,-INF,
,-INF,20.42,-INF,
,-INF,20.43,-INF,
,-INF,20.44,-INF,
,-INF,20.45,-INF,
,-INF,20.46,-INF,
,-INF,20.47,-INF,
,-INF,20.48,-INF,
,-INF,20.49,-INF,
,-INF,20.50,-INF,
,-INF,20.51,-INF,
,-INF,20.52,-INF,
,2.28,20.53,31.05,
,2.28,20.54,31.08,
,-INF,20.55,-INF,
,-INF,20.56,-INF,
,-INF,20.57,-INF,
,-INF,20.58,-INF,
,-INF,20.59,-INF,
,-INF,20.60,-INF,
,-INF,20.61,-INF,
,-INF,20.62,-INF,
,-INF,20.63,-INF,
,-INF,20.64,-INF,
,-INF,20.65,-INF,
,-INF,20.66,-INF,
,-INF,20.67,-INF,
,-INF,20.68,-INF,
,-INF,20.69,-INF,
,-INF,20.70,-INF,
,-INF,20.71,-INF,
,-INF,20.72,-INF,
,-INF,20.73,-INF,
,-INF,20.74,-INF,
,-INF,20.75,-INF,
,-INF,20.76,-INF,
,-INF,20.77,-INF,
,-INF,20.78,-INF,
,-INF,20.79,-INF,
,-INF,20.80,-INF,
,-INF,20.81,-INF,
,-INF,20.82,-INF,
